NAMESPACE                 NAME                              TYPE           CLUSTER-IP      EXTERNAL-IP    PORT(S)                         AGE
cattle-capi-system        capi-webhook-service              ClusterIP      10.43.102.141   <none>         443/TCP                         58m
cattle-fleet-system       gitjob                            ClusterIP      10.43.201.109   <none>         80/TCP                          61m
cattle-fleet-system       monitoring-fleet-controller       ClusterIP      10.43.83.239    <none>         8080/TCP                        61m
cattle-fleet-system       monitoring-gitjob                 ClusterIP      10.43.235.68    <none>         8081/TCP                        61m
cattle-neuvector-system   neuvector-service-webui           ClusterIP      10.43.86.54     <none>         8443/TCP                        6m18s
cattle-neuvector-system   neuvector-svc-admission-webhook   ClusterIP      10.43.75.161    <none>         443/TCP                         6m18s
cattle-neuvector-system   neuvector-svc-controller          ClusterIP      None            <none>         18300/TCP,18301/TCP,18301/UDP   6m18s
cattle-neuvector-system   neuvector-svc-crd-webhook         ClusterIP      10.43.145.118   <none>         443/TCP                         6m18s
cattle-system             imperative-api-extension          ClusterIP      10.43.83.24     <none>         6666/TCP                        62m
cattle-system             rancher                           ClusterIP      10.43.6.93      <none>         80/TCP,443/TCP                  65m
cattle-system             rancher-internal                  ClusterIP      10.43.158.125   <none>         443/TCP                         65m
cattle-system             rancher-webhook                   ClusterIP      10.43.71.121    <none>         443/TCP                         61m
cert-manager              cert-manager                      ClusterIP      10.43.200.242   <none>         9402/TCP                        106m
cert-manager              cert-manager-cainjector           ClusterIP      10.43.45.119    <none>         9402/TCP                        106m
cert-manager              cert-manager-webhook              ClusterIP      10.43.31.75     <none>         443/TCP,9402/TCP                106m
default                   kubernetes                        ClusterIP      10.43.0.1       <none>         443/TCP                         113m
kube-system               kube-dns                          ClusterIP      10.43.0.10      <none>         53/UDP,53/TCP,9153/TCP          113m
kube-system               metrics-server                    ClusterIP      10.43.117.174   <none>         443/TCP                         113m
kube-system               traefik                           LoadBalancer   10.43.36.105    192.168.64.4   80:30176/TCP,443:32418/TCP      113m
