NAME                                                              READY   STATUS            RESTARTS   AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
suse-observability-clickhouse-shard0-0                            0/2     ErrImagePull      0          2m42s   10.42.0.173   lima-rancher-desktop   <none>           <none>
suse-observability-correlate-cf85586c7-k2cfv                      0/1     Init:0/1          0          2m42s   10.42.0.156   lima-rancher-desktop   <none>           <none>
suse-observability-e2es-84cdcd47cc-5h79d                          0/1     Init:0/1          0          2m42s   10.42.0.151   lima-rancher-desktop   <none>           <none>
suse-observability-elasticsearch-master-0                         0/1     Init:0/1          0          2m42s   <none>        lima-rancher-desktop   <none>           <none>
suse-observability-hbase-stackgraph-0                             0/1     PodInitializing   0          2m42s   10.42.0.171   lima-rancher-desktop   <none>           <none>
suse-observability-hbase-tephra-mono-0                            0/1     Init:0/1          0          2m42s   10.42.0.175   lima-rancher-desktop   <none>           <none>
suse-observability-init-pvc-08t182517-l6qss                       0/1     Completed         0          2m42s   10.42.0.174   lima-rancher-desktop   <none>           <none>
suse-observability-kafka-0                                        0/2     Terminating       0          2m42s   <none>        lima-rancher-desktop   <none>           <none>
suse-observability-kafkaup-operator-kafkaup-755458dcd4-cnd6z      1/1     Running           0          2m42s   10.42.0.158   lima-rancher-desktop   <none>           <none>
suse-observability-otel-collector-0                               0/1     Pending           0          2m41s   <none>        <none>                 <none>           <none>
suse-observability-prometheus-elasticsearch-exporter-69b97htp4m   1/1     Running           0          2m42s   10.42.0.159   lima-rancher-desktop   <none>           <none>
suse-observability-rbac-agent-549c4dd7b9-52hcc                    1/1     Running           0          2m42s   10.42.0.147   lima-rancher-desktop   <none>           <none>
suse-observability-receiver-786567c4d-bsprk                       0/1     Init:0/1          0          2m42s   10.42.0.148   lima-rancher-desktop   <none>           <none>
suse-observability-router-84bf6b6fc9-4mh5n                        1/1     Running           0          2m42s   10.42.0.149   lima-rancher-desktop   <none>           <none>
suse-observability-s3proxy-59d7f9c655-ffjr9                       0/1     PodInitializing   0          2m42s   10.42.0.162   lima-rancher-desktop   <none>           <none>
suse-observability-server-55db764f96-t7z5l                        0/1     Init:1/3          0          2m42s   10.42.0.163   lima-rancher-desktop   <none>           <none>
suse-observability-topic-create-08t182517-psxh5                   0/1     Init:0/1          0          2m42s   10.42.0.150   lima-rancher-desktop   <none>           <none>
suse-observability-ui-bc955bfc8-lck9g                             1/2     Running           0          2m42s   10.42.0.152   lima-rancher-desktop   <none>           <none>
suse-observability-victoria-metrics-0-0                           0/1     Pending           0          2m41s   <none>        <none>                 <none>           <none>
suse-observability-vmagent-0                                      0/1     Pending           0          2m41s   <none>        <none>                 <none>           <none>
suse-observability-workload-observer-0                            1/1     Running           0          2m42s   10.42.0.161   lima-rancher-desktop   <none>           <none>
suse-observability-zookeeper-0                                    1/1     Running           0          2m42s   10.42.0.169   lima-rancher-desktop   <none>           <none>
