NAME                                                   TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                                                                                   AGE
suse-observability-backup-stackpacks                   ClusterIP   None            <none>        7090/TCP                                                                                  70m
suse-observability-clickhouse                          ClusterIP   10.43.223.5     <none>        8123/TCP,9000/TCP,9004/TCP,9005/TCP,9009/TCP,8001/TCP                                     70m
suse-observability-clickhouse-headless                 ClusterIP   None            <none>        8123/TCP,9000/TCP,9004/TCP,9005/TCP,9009/TCP                                              70m
suse-observability-correlate                           ClusterIP   None            <none>        9404/TCP                                                                                  70m
suse-observability-e2es                                ClusterIP   None            <none>        9404/TCP                                                                                  70m
suse-observability-elasticsearch-master                ClusterIP   10.43.137.58    <none>        9200/TCP,9300/TCP                                                                         70m
suse-observability-elasticsearch-master-headless       ClusterIP   None            <none>        9200/TCP,9300/TCP                                                                         70m
suse-observability-hbase-stackgraph                    ClusterIP   None            <none>        10125/TCP,10126/TCP,10021/TCP,2182/TCP,60001/TCP,60011/TCP,60021/TCP,60031/TCP,9404/TCP   70m
suse-observability-hbase-tephra                        ClusterIP   None            <none>        15165/TCP,9404/TCP                                                                        70m
suse-observability-kafka                               ClusterIP   10.43.168.204   <none>        9092/TCP                                                                                  70m
suse-observability-kafka-headless                      ClusterIP   None            <none>        9092/TCP,9093/TCP                                                                         70m
suse-observability-kafka-jmx-metrics                   ClusterIP   10.43.178.102   <none>        5556/TCP                                                                                  70m
suse-observability-otel-collector                      ClusterIP   10.43.82.191    <none>        8888/TCP,4317/TCP,4318/TCP                                                                70m
suse-observability-otel-collector-grpc                 ClusterIP   10.43.169.104   <none>        4317/TCP                                                                                  70m
suse-observability-prometheus-elasticsearch-exporter   ClusterIP   10.43.162.103   <none>        9108/TCP                                                                                  70m
suse-observability-receiver                            ClusterIP   10.43.70.251    <none>        7077/TCP,9404/TCP                                                                         70m
suse-observability-router                              ClusterIP   10.43.232.78    <none>        8080/TCP,8001/TCP                                                                         70m
suse-observability-s3proxy                             ClusterIP   10.43.142.131   <none>        9000/TCP                                                                                  70m
suse-observability-server-headless                     ClusterIP   None            <none>        7070/TCP,9404/TCP,7075/TCP                                                                70m
suse-observability-ui                                  ClusterIP   10.43.138.208   <none>        8080/TCP,9113/TCP                                                                         70m
suse-observability-victoria-metrics-0                  ClusterIP   None            <none>        8428/TCP                                                                                  70m
suse-observability-victoriametrics                     ClusterIP   None            <none>        8428/TCP                                                                                  70m
suse-observability-vmagent                             ClusterIP   None            <none>        8429/TCP                                                                                  70m
suse-observability-zookeeper                           ClusterIP   10.43.141.60    <none>        2181/TCP,2888/TCP,3888/TCP                                                                70m
suse-observability-zookeeper-headless                  ClusterIP   None            <none>        2181/TCP,2888/TCP,3888/TCP                                                                70m
suse-observability-zookeeper-metrics                   ClusterIP   10.43.72.87     <none>        9141/TCP                                                                                  70m
