NAME                                     STATUS   AGE
cattle-ai-agent-system                   Active   47h
cattle-capi-system                       Active   2d1h
cattle-fleet-clusters-system             Active   2d1h
cattle-fleet-local-system                Active   2d1h
cattle-fleet-system                      Active   2d1h
cattle-global-data                       Active   2d1h
cattle-impersonation-system              Active   2d1h
cattle-local-user-passwords              Active   2d1h
cattle-neuvector-system                  Active   4h46m
cattle-oidc-client-secrets               Active   2d
cattle-oidc-codes                        Active   2d
cattle-scc-system                        Active   2d
cattle-system                            Active   2d1h
cattle-turtles-system                    Active   2d1h
cattle-ui-plugin-system                  Active   2d1h
cert-manager                             Active   2d1h
cluster-fleet-local-local-1a3d67d0a899   Active   2d1h
default                                  Active   2d1h
demo-light                               Active   107m
fleet-default                            Active   2d1h
fleet-local                              Active   2d1h
kube-node-lease                          Active   2d1h
kube-public                              Active   2d1h
kube-system                              Active   2d1h
local                                    Active   2d1h
p-4xvw8                                  Active   2d1h
p-9z7mz                                  Active   2d1h
user-zhkpm                               Active   2d1h
