NAMESPACE                   NAME                                                  READY   STATUS      RESTARTS         AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
cattle-ai-agent-system      rancher-ai-agent-55c694f4f8-q2v77                     1/1     Running     2 (3h37m ago)    46h     10.42.0.153   lima-rancher-desktop   <none>           <none>
cattle-ai-agent-system      rancher-mcp-server-f8bddf56d-xjn2s                    1/1     Running     2 (3h37m ago)    46h     10.42.0.150   lima-rancher-desktop   <none>           <none>
cattle-capi-system          capi-controller-manager-665fc47d9-pnts8               1/1     Running     14 (3h37m ago)   2d      10.42.0.151   lima-rancher-desktop   <none>           <none>
cattle-fleet-local-system   fleet-agent-57bf575f84-p46sp                          1/1     Running     7 (3h37m ago)    2d      10.42.0.164   lima-rancher-desktop   <none>           <none>
cattle-fleet-system         fleet-controller-8c7954dfd-c5692                      3/3     Running     23 (3h37m ago)   2d      10.42.0.149   lima-rancher-desktop   <none>           <none>
cattle-fleet-system         gitjob-7ffc766868-tmf74                               1/1     Running     7 (3h37m ago)    2d      10.42.0.148   lima-rancher-desktop   <none>           <none>
cattle-fleet-system         helmops-7f67477dd7-l2vw8                              1/1     Running     7 (3h37m ago)    2d      10.42.0.162   lima-rancher-desktop   <none>           <none>
cattle-neuvector-system     neuvector-cert-upgrader-job-lh96p                     0/1     Completed   0                3h59m   <none>        lima-rancher-desktop   <none>           <none>
cattle-neuvector-system     neuvector-controller-pod-84757f8b44-97lxl             1/1     Running     2 (3h37m ago)    3h53m   10.42.0.159   lima-rancher-desktop   <none>           <none>
cattle-neuvector-system     neuvector-enforcer-pod-phcl7                          1/1     Running     2 (3h37m ago)    4h46m   10.42.0.161   lima-rancher-desktop   <none>           <none>
cattle-neuvector-system     neuvector-manager-pod-76cdbf54d9-pztbt                1/1     Running     2 (3h37m ago)    3h53m   10.42.0.156   lima-rancher-desktop   <none>           <none>
cattle-neuvector-system     neuvector-scanner-pod-5d5d6449d4-w6psh                1/1     Running     0                3h33m   10.42.0.165   lima-rancher-desktop   <none>           <none>
cattle-scc-system           rancher-scc-operator-d4946cb85-nsj6x                  1/1     Running     7 (3h37m ago)    2d      10.42.0.157   lima-rancher-desktop   <none>           <none>
cattle-system               rancher-7464b75d-hdrmr                                1/1     Running     6 (3h37m ago)    2d      10.42.0.142   lima-rancher-desktop   <none>           <none>
cattle-system               rancher-webhook-84d879987d-f9pzm                      1/1     Running     5 (3h37m ago)    2d      10.42.0.146   lima-rancher-desktop   <none>           <none>
cattle-system               system-upgrade-controller-6d8b8567f8-4h5mb            1/1     Running     7 (3h37m ago)    2d      10.42.0.155   lima-rancher-desktop   <none>           <none>
cattle-turtles-system       rancher-turtles-controller-manager-57744d846f-4bsrw   1/1     Running     14 (3h37m ago)   2d      10.42.0.147   lima-rancher-desktop   <none>           <none>
cert-manager                cert-manager-559776c68d-zwzkx                         1/1     Running     29 (3h37m ago)   2d1h    10.42.0.141   lima-rancher-desktop   <none>           <none>
cert-manager                cert-manager-cainjector-7cdf9b4bd8-2m2vk              1/1     Running     4 (3h37m ago)    2d1h    10.42.0.143   lima-rancher-desktop   <none>           <none>
cert-manager                cert-manager-webhook-5f7fd7899-dx6w6                  1/1     Running     3 (3h37m ago)    2d1h    10.42.0.158   lima-rancher-desktop   <none>           <none>
demo-light                  backend-httpbin-7f9c576b99-mptxd                      1/1     Running     0                107m    10.42.0.166   lima-rancher-desktop   <none>           <none>
demo-light                  debug-curl-5cdfb469b5-mhkh2                           1/1     Running     0                107m    10.42.0.169   lima-rancher-desktop   <none>           <none>
demo-light                  frontend-nginx-8f69c749c-c59qf                        1/1     Running     0                107m    10.42.0.167   lima-rancher-desktop   <none>           <none>
demo-light                  traffic-generator-7c9dd555f6-cvlxh                    1/1     Running     0                107m    10.42.0.168   lima-rancher-desktop   <none>           <none>
fleet-local                 rke2-machineconfig-cleanup-cronjob-29722505-skmvj     0/1     Completed   0                21h     <none>        lima-rancher-desktop   <none>           <none>
fleet-local                 rke2-machineconfig-cleanup-cronjob-29723945-xgnvr     0/1     Completed   0                4h13m   <none>        lima-rancher-desktop   <none>           <none>
kube-system                 coredns-8b64bcf7c-fr2mf                               1/1     Running     4 (3h37m ago)    2d1h    10.42.0.145   lima-rancher-desktop   <none>           <none>
kube-system                 helm-install-traefik-crd-8kx9c                        0/1     Completed   0                2d1h    <none>        lima-rancher-desktop   <none>           <none>
kube-system                 helm-install-traefik-lwntt                            0/1     Completed   2                2d1h    <none>        lima-rancher-desktop   <none>           <none>
kube-system                 local-path-provisioner-5d9d9885bc-dsthp               1/1     Running     2 (3h37m ago)    2d1h    10.42.0.163   lima-rancher-desktop   <none>           <none>
kube-system                 metrics-server-786d997795-dk6hs                       1/1     Running     4 (3h37m ago)    2d1h    10.42.0.144   lima-rancher-desktop   <none>           <none>
kube-system                 svclb-traefik-b4c086db-84zzt                          2/2     Running     4 (3h37m ago)    2d1h    10.42.0.152   lima-rancher-desktop   <none>           <none>
kube-system                 traefik-d98ccfdf6-kjcjk                               1/1     Running     3 (3h37m ago)    2d1h    10.42.0.160   lima-rancher-desktop   <none>           <none>
