NAMESPACE                 NAME                              TYPE           CLUSTER-IP      EXTERNAL-IP    PORT(S)                         AGE     SELECTOR
cattle-ai-agent-system    rancher-ai-agent                  ClusterIP      10.43.252.28    <none>         80/TCP                          47h     app=rancher-ai-agent
cattle-ai-agent-system    rancher-mcp-server                ClusterIP      10.43.190.98    <none>         80/TCP,443/TCP                  47h     app=rancher-mcp-server
cattle-capi-system        capi-webhook-service              ClusterIP      10.43.97.96     <none>         443/TCP                         2d      cluster.x-k8s.io/provider=cluster-api
cattle-fleet-system       gitjob                            ClusterIP      10.43.159.236   <none>         80/TCP                          2d      app=gitjob
cattle-fleet-system       monitoring-fleet-controller       ClusterIP      10.43.123.126   <none>         8080/TCP                        2d      app=fleet-controller,fleet.cattle.io/shard-default=true
cattle-fleet-system       monitoring-gitjob                 ClusterIP      10.43.144.5     <none>         8081/TCP                        2d      app=gitjob,fleet.cattle.io/shard-default=true
cattle-neuvector-system   neuvector-service-webui           ClusterIP      10.43.229.226   <none>         8443/TCP                        4h46m   app=neuvector-manager-pod
cattle-neuvector-system   neuvector-svc-admission-webhook   ClusterIP      10.43.134.46    <none>         443/TCP                         4h46m   app=neuvector-controller-pod
cattle-neuvector-system   neuvector-svc-controller          ClusterIP      None            <none>         18300/TCP,18301/TCP,18301/UDP   4h46m   app=neuvector-controller-pod
cattle-neuvector-system   neuvector-svc-crd-webhook         ClusterIP      10.43.190.10    <none>         443/TCP                         4h46m   app=neuvector-controller-pod
cattle-system             imperative-api-extension          ClusterIP      10.43.44.8      <none>         6666/TCP                        2d      app=rancher
cattle-system             rancher                           ClusterIP      10.43.230.231   <none>         80/TCP,443/TCP                  2d      app=rancher
cattle-system             rancher-internal                  ClusterIP      10.43.14.35     <none>         443/TCP                         2d      app=rancher
cattle-system             rancher-webhook                   ClusterIP      10.43.147.18    <none>         443/TCP                         2d      app=rancher-webhook
cert-manager              cert-manager                      ClusterIP      10.43.228.17    <none>         9402/TCP                        2d1h    app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
cert-manager              cert-manager-cainjector           ClusterIP      10.43.190.31    <none>         9402/TCP                        2d1h    app.kubernetes.io/component=cainjector,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cainjector
cert-manager              cert-manager-webhook              ClusterIP      10.43.227.161   <none>         443/TCP,9402/TCP                2d1h    app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
default                   kubernetes                        ClusterIP      10.43.0.1       <none>         443/TCP                         2d1h    <none>
demo-light                backend-httpbin                   ClusterIP      10.43.46.175    <none>         8000/TCP                        107m    app=backend-httpbin
demo-light                frontend-nginx                    ClusterIP      10.43.119.150   <none>         80/TCP                          107m    app=frontend-nginx
kube-system               kube-dns                          ClusterIP      10.43.0.10      <none>         53/UDP,53/TCP,9153/TCP          2d1h    k8s-app=kube-dns
kube-system               metrics-server                    ClusterIP      10.43.83.134    <none>         443/TCP                         2d1h    k8s-app=metrics-server
kube-system               traefik                           LoadBalancer   10.43.179.252   192.168.64.4   80:30840/TCP,443:31117/TCP      2d1h    app.kubernetes.io/instance=traefik-kube-system,app.kubernetes.io/name=traefik
