NAME                                     STATUS   AGE
cattle-capi-system                       Active   6m16s
cattle-fleet-clusters-system             Active   7m20s
cattle-fleet-local-system                Active   6m30s
cattle-fleet-system                      Active   8m4s
cattle-global-data                       Active   8m20s
cattle-impersonation-system              Active   8m15s
cattle-local-user-passwords              Active   8m25s
cattle-system                            Active   11m
cattle-turtles-system                    Active   6m24s
cattle-ui-plugin-system                  Active   8m34s
cert-manager                             Active   10m
cluster-fleet-local-local-1a3d67d0a899   Active   6m32s
default                                  Active   17m
fleet-default                            Active   8m19s
fleet-local                              Active   8m34s
kube-node-lease                          Active   17m
kube-public                              Active   17m
kube-system                              Active   17m
local                                    Active   8m21s
p-29mzm                                  Active   8m16s
p-t8ldn                                  Active   8m16s
user-pmp78                               Active   2m22s
